"x.pos","y.pos","response","pp.wts"
699.243619305601,-2059.80428383755,1,1e-06
509.390021383512,-2065.93538617912,1,1e-06
663.897214928812,-2100.65162149405,1,1e-06
636.683613408812,-2136.64371660771,1,1e-06
697.499991906915,-2062.49994420429,1,1e-06
699.20265587287,-2056.2622255132,1,1e-06
697.499992070689,-2057.49994416723,1,1e-06
534.516042119105,-2097.39340744261,1,1e-06
597.388675152966,-2120.79019889744,1,1e-06
603.332559500927,-2044.59445502149,1,1e-06
534.679960817956,-2096.31687506522,1,1e-06
565.243862753948,-2077.32125905953,1,1e-06
694.538602560968,-2050.32476826156,1,1e-06
711.434680124963,-2086.13343576404,1,1e-06
506.529600266324,-2097.53794067411,1,1e-06
532.499998448981,-2097.49994226546,1,1e-06
558.623040265234,-2103.50840013794,1,1e-06
516.351247426499,-2098.89279490555,1,1e-06
674.70253681877,-2102.77717070641,1,1e-06
551.753508941563,-2118.68388094665,1,1e-06
507.790163804527,-2086.79239508737,1,1e-06
453.689951227377,-2105.61568845687,1,1e-06
696.72583750947,-2051.10556999262,1,1e-06
692.695759728877,-2049.61856846869,1,1e-06
701.57865621334,-2051.8228454389,1,1e-06
702.804391930663,-2054.11309131809,1,1e-06
714.075429443107,-2051.84990357715,1,1e-06
719.546342006343,-2052.23560694792,1,1e-06
715.354698566036,-2055.25328743902,1,1e-06
710.42597083453,-2055.09169726068,1,1e-06
705.476113988477,-2059.22217929885,1,1e-06
703.719406184394,-2064.05325436184,1,1e-06
709.7799944025,-2059.74986430961,1,1e-06
705.476065930669,-2059.22660707789,1,1e-06
705.476113988477,-2059.22217929885,1,1e-06
672.682581705459,-2102.15825599179,1,1e-06
687.600264534674,-2121.63321832853,1,1e-06
647.499993800141,-2137.49994190957,1,1e-06
450.672237672987,-2120.16715143894,1,1e-06
485.306180986077,-2097.0127180963,1,1e-06
565.626028371713,-2076.2304599173,1,1e-06
496.84115371989,-2061.62373554793,1,1e-06
633.435664603346,-2030.9987135496,1,1e-06
668.073846013297,-2126.14495578337,1,1e-06
555.641228671488,-2124.49688466707,1,1e-06
710.637976964721,-2070.16516103336,1,1e-06
596.34851484632,-2121.09146497749,1,1e-06
596.723175921791,-2121.82603572433,1,1e-06
696.143013790422,-2046.59292424029,1,1e-06
674.797720479985,-2038.00499778753,1,1e-06
676.574223367752,-2040.12438504798,1,1e-06
675.199179603479,-2036.81711631066,1,1e-06
717.591547967958,-2066.11785627626,1,1e-06
649.46259215183,-2135.80671471872,1,1e-06
702.499990863012,-2047.49994472018,1,1e-06
623.044794076696,-2125.02627065314,1,1e-06
611.309210693368,-2124.77072710573,1,1e-06
490.196188382111,-2077.22468576078,1,1e-06
470.699559826792,-2104.28075470873,1,1e-06
475.19739847787,-2102.89548730923,1,1e-06
534.002190688831,-2096.83102489027,1,1e-06
531.546819979058,-2089.60355572373,1,1e-06
673.616092203866,-2129.61061911287,1,1e-06
673.616092203866,-2129.61061911287,1,1e-06
643.524333977544,-2107.47424129316,1,1e-06
682.704665309884,-2092.49970438853,1,1e-06
700.529819306338,-2072.84123582413,1,1e-06
703.869933290923,-2067.79789176416,1,1e-06
711.097403126174,-2058.98178480863,1,1e-06
692.018851324623,-2055.88833876643,1,1e-06
717.178921470561,-2051.67143703664,1,1e-06
709.99722896679,-2048.31484544355,1,1e-06
695.590532874473,-2060.13370649456,1,1e-06
706.498640026303,-2051.09961046762,1,1e-06
557.140764580774,-2093.07697654009,1,1e-06
505.760654503637,-2079.34076089903,1,1e-06
553.038371821943,-2098.22229168698,1,1e-06
442.500001970252,-2102.49994265049,1,1e-06
517.499999384285,-2042.49994408702,1,1e-06
712.805170405756,-2066.77292572479,1,1e-06
720.732629983605,-2092.37166487059,1,1e-06
