"date","year","month","day","x.pos","y.pos","code","death","response"
"11/09/2003",2003,9,11,445345.124505814,-2044768.47520119,"Unk",0,0
"11/09/2003",2003,9,11,631460.385872508,-2053610.33914163,"Unk",0,0
"11/09/2003",2003,9,11,729204.372057895,-2100816.90085752,"Unk",0,0
"11/09/2003",2003,9,11,717488.483302797,-2149971.66988232,"Unk",0,0
"11/09/2003",2003,9,11,541080.672618898,-2121198.14655073,"Unk",0,0
"11/09/2003",2003,9,11,523674.20932561,-2120748.56024867,"Unk",0,0
"11/09/2003",2003,9,11,706776.813583851,-2055558.54645054,"Unk",0,0
"11/09/2003",2003,9,11,739916.041776841,-2047615.85511421,"Unk",0,0
"11/09/2003",2003,9,11,677654.461535465,-2127642.2168802,"Unk",0,0
"21/09/2003",2003,9,21,702499.991468827,-2082499.94285013,"Unk",1,1
"21/09/2003",2003,9,21,724183.276877139,-2110258.2132007,"Unk",0,0
"21/09/2003",2003,9,21,441662.988039926,-2097669.79674313,"Unk",0,0
"28/09/2003",2003,9,28,702499.991897683,-2077499.94351712,"LPS",1,1
"28/09/2003",2003,9,28,716819.003945363,-2111756.83420755,"LPS",0,0
"28/09/2003",2003,9,28,536729.056795576,-2079536.4825602,"LPS",0,0
"13/10/2003",2003,10,13,682499.991932775,-2087499.94321856,"Unk",1,1
"13/10/2003",2003,10,13,656900.601455006,-2152669.18769465,"Unk",0,0
"13/10/2003",2003,10,13,530034.263221234,-2065449.44509577,"Unk",0,0
"27/12/2003",2003,12,27,652499.993688879,-2112499.94206538,"Unk",1,1
"27/12/2003",2003,12,27,676650.242499314,-2115952.97302674,"Unk",0,0
"27/12/2003",2003,12,27,635142.522338396,-2039673.16377789,"Unk",0,0
"29/07/2004",2004,7,29,457500.001489748,-2097499.94290239,"ANP",1,1
"29/07/2004",2004,7,29,491873.939847487,-2145625.66896244,"ANP",0,0
"29/07/2004",2004,7,29,649871.068201948,-2099018.55564929,"ANP",0,0
"06/08/2004",2004,8,6,532499.998448981,-2097499.94226546,"ANP",1,1
"06/08/2004",2004,8,6,508610.923783341,-2097819.65884381,"ANP",0,0
"06/08/2004",2004,8,6,494886.596955941,-2088228.48439995,"ANP",0,0
